epoch,beta,train_loss,train_recon,train_kl,valid_loss,valid_recon,valid_kl
1,0.0025000000000000005,747.8580374368807,746.1773806688262,672.2630920116494,557.1809187669021,555.6054370586688,630.1909754826472
2,0.005000000000000001,461.9412941537252,459.12830840320123,562.5971234577459,405.5179860041692,402.62059431809644,579.4784780649038
3,0.0075,385.31314831245237,381.3039363209794,534.5617640053354,360.1215092585637,356.1672920813927,527.2287808931791
4,0.010000000000000002,353.16432316477704,348.25799649866616,490.6325892006479,339.0701200045072,334.11289743276745,495.7221984863281
5,0.0125,329.1132388231231,323.0652510480183,483.8390069728944,314.36618863619293,308.1626622126653,496.2821244459886
6,0.015,305.22869285025246,298.19162910275344,469.1376101610137,290.30645458514874,283.4937086838942,454.18303856482873
7,0.017499999999999998,279.2719782387338,271.2829300298923,456.5170203232184,268.1537381685697,260.1843467125526,455.3938939021184
8,0.020000000000000004,264.32541779308787,255.49427773080222,441.5570328875286,257.12137427696814,248.27417813814603,442.3597717285156
9,0.022500000000000003,255.44505816203792,245.84372231088034,426.72602434856134,249.54570652888373,240.05848869910608,421.65415250338043
10,0.025,246.42887937964463,236.02006292575743,416.35264758598515,240.46085122915414,230.08841059758112,414.8976287841797
11,0.027500000000000004,237.87387293373666,226.50375515077172,413.45882910751715,232.2970516498272,220.92421634380634,413.5576700063852
12,0.03,230.68390956971703,218.3896180687881,409.8097223049257,229.12369772104117,216.78469203068659,411.3001779409555
13,0.0325,224.81602150521627,211.693035963105,403.78419606278584,222.08036276010367,208.89822182288538,405.60430673452527
14,0.034999999999999996,220.74183044433593,206.83378206578698,397.37281494140626,219.5824719942533,205.49187557513898,402.58842703012317
15,0.037500000000000006,216.9828947485947,202.31241641160918,391.21274146103275,216.68848947378305,201.96606415968674,392.5979954646184
16,0.04000000000000001,213.63544043564215,198.26238366103755,384.32641542016006,213.42492998563327,198.08021017221304,383.6180114746094
17,0.0425,211.60003699325932,195.4867007371856,379.137333865282,211.71791311410757,196.04372494037335,368.80443514310394
18,0.045000000000000005,208.58762824826124,191.8281742002906,372.4323032286109,208.67577538123498,191.80376874483548,374.93345407339245
19,0.0475,206.70407171481992,189.27847163502764,366.8547442180354,209.3409916804387,192.33785423865686,357.9607766958383
20,0.05,204.19345196979802,186.11557036609184,361.5576243330793,206.38069827740009,188.00572263277493,367.4994847224309
21,0.05,201.0662653481088,182.93589202136528,362.60746281321457,202.12398411677435,183.81321364182693,366.2153789813702
22,0.05,198.33091519983805,180.0990666831412,364.63696750547825,200.1000410226675,181.77169594397913,366.56690626878003
23,0.05,195.14259546791635,176.91931271436738,364.4656595369665,197.3073815565843,179.27714685293344,360.60465064415564
24,0.05,192.30619060237234,173.98289936344798,366.4658276069455,194.72373874370868,176.37983087392954,366.8781421367939
25,0.05,189.61497073289826,171.27870848120713,366.7252404189691,192.82295813927283,174.82024588951697,360.0542461688702
26,0.05,187.32204828029725,168.84859366068025,369.4690974537919,190.06343460083008,172.02644230769232,360.73985055776745
27,0.05,184.36423272853943,165.8657632967321,369.96939101800683,189.1165434030386,170.51270352877103,372.07679748535156
28,0.05,181.84760474228278,163.2093623835866,372.76483853968176,185.08852151724008,166.19919762244592,377.78649550217847
29,0.05,179.90335149997617,161.2668213634956,372.7306015386814,183.7172634418194,164.8489617567796,377.3660184420072
30,0.05,177.22370151426733,158.48105483636624,374.85293162276105,181.63273151104266,163.45599101139948,363.53479356032153
31,0.05,175.18669939738948,156.38249615925113,376.0840644650343,180.6916641822228,161.60025963416467,381.8281003511869
32,0.05,172.82983874809452,153.95451861125667,377.5064124130621,178.0900591336764,159.05241599449744,380.7528510460487
33,0.05,171.00635562059355,152.0716920433975,378.6932663336033,176.47310873178336,157.36766961904672,382.1087963397686
34,0.05,169.0049641678973,150.02649130472324,379.56944833150726,174.88264934833234,155.73250403771033,383.00288860614484
35,0.05,167.004575254859,147.95853930217464,380.92071443883384,173.17257338303787,154.39473489614633,375.5567814753606
36,0.05,165.7609499303306,146.66410302883241,381.9369325219131,172.06363267164963,152.9576187133789,382.1202885554387
37,0.05,163.92674902939214,144.78121669117996,382.9106531654916,171.6825834421011,152.26827210646408,388.2862278864934
38,0.05,162.2813352259194,143.08159920297018,383.9947182259909,169.18177619347205,149.87219032874475,386.1916938194862
39,0.05,160.39510840439215,141.1111638883265,385.6789014862805,168.08082815317007,148.82716252253607,385.07330557016223
40,0.05,159.08407652319931,139.76856328452504,386.310265964415,166.586911714994,147.2464141845703,386.8099376971905
41,0.05,157.90685253608518,138.57836046916682,386.5698431247618,166.38856154221756,146.48982385488657,397.97477370042066
42,0.05,156.12798420975847,136.76232794784917,387.31312762004575,164.54228591918945,145.05010017981897,389.84370774489184
43,0.05,154.6921524420017,135.28231964111328,388.19664574599847,164.70663598867563,145.664858011099,380.8355724628155
44,0.05,153.65463744372857,134.14778460991093,390.1370468511814,162.2604103088379,142.8078463627742,389.05127892127405
45,0.05,152.18985082114614,132.66413849621284,390.5142456054688,161.96338096031775,142.1794627262996,395.6783435528095
