epoch,beta,train_loss,train_recon,train_kl,valid_loss,valid_recon,valid_kl
1,0.0025000000000000005,757.8701928115472,755.8190090272485,820.4734194778633,560.8402897761418,558.8203371488131,807.9821284367488
2,0.005000000000000001,474.625197843226,471.2736015505907,670.3190663407488,415.05140509972205,412.1549506554237,579.2909017709585
3,0.0075,393.5343843785728,389.4820318454649,540.3137096870237,370.2983885544997,366.19156353290265,547.5763185941256
4,0.010000000000000002,361.62505493164065,356.6530047160823,497.2049996724943,349.40779289832483,344.55759899432843,485.01902066744293
5,0.0125,342.3595118080697,336.55107570741234,464.6748106421494,330.14536637526294,324.3146802462064,466.45484572190503
6,0.015,322.3638968118807,315.5728860994665,452.7340327565263,309.16641587477466,302.4725365271935,446.25836885892426
7,0.017499999999999998,293.5670183135242,285.70512762302303,449.2508981099943,275.5268226036659,267.4400887122521,462.09890629695013
8,0.020000000000000004,270.95549353622806,262.05182978932453,445.18322902772485,262.700934776893,254.00838998647836,434.62735337477466
9,0.022500000000000003,260.7005974746332,250.9937794755145,431.4141297875381,253.3485107421875,243.48994973989633,438.15820664625903
10,0.025,251.42358822706268,240.79429254299257,425.1718004180164,246.3197731604943,235.5645264845628,430.20992689866284
11,0.027500000000000004,241.11560989007717,229.48794644983803,422.8241215403487,235.0860372690054,223.49710611196664,421.41567758413464
12,0.03,232.84645021019912,220.31129321586795,417.83857183689025,228.7598876953125,216.006837111253,425.1017174353966
13,0.0325,226.18657814584128,212.7529203089272,413.3433507407584,222.47852794940655,208.8647243793194,418.8863267164964
14,0.034999999999999996,221.9517499970227,207.68120608446074,407.7298116544398,219.22408412053034,205.0042489858774,406.28102111816406
15,0.037500000000000006,218.1626314488853,203.11382729134908,401.30142167254195,217.950808598445,203.1934837928185,393.52860083946814
16,0.04000000000000001,215.16893697599085,199.39466158238852,394.3568920600705,218.09683873103216,202.53045067420373,389.1597137451172
17,0.0425,212.5926915610709,196.12675632383764,387.4337652439024,212.92791278545673,196.54751469538763,385.4211108867939
18,0.045000000000000005,210.46569236197124,193.23966064453126,382.80068121189026,210.23147700383112,192.85516122671274,386.14034564678485
19,0.0475,207.58266869521722,189.70733463938643,376.3228348894817,208.1631575364333,190.55366926926834,370.72605661245495
20,0.05,205.60197054234948,187.0226121855945,371.5871721965511,205.42283923809345,187.01912923959586,368.07420349121094
21,0.05,202.55494786704458,183.94597435927972,372.17947223942457,203.40660388653095,185.03675138033353,367.3970430814303
22,0.05,199.89571161037537,181.2512022437119,372.89019790277246,200.47056051400992,181.74213321392352,374.5685272216797
23,0.05,196.77274504870903,178.08261502893959,373.8025986089939,198.918520120474,180.41054300161508,370.15952359713043
24,0.05,194.45455314822314,175.69837490174828,375.1235621010385,195.19891973642203,176.5931396484375,372.1156029334435
25,0.05,191.64914982493332,172.8153243646389,376.6765047399009,193.073425586407,174.46188119741586,372.23089012732873
26,0.05,188.46749193145007,169.58173924888052,377.71506570955603,190.14123711219202,171.09657522348257,380.8932448167067
27,0.05,185.86633546410536,166.84795026081363,380.3677067454268,188.50365653404822,169.3534868680514,383.00340270996094
28,0.05,183.300537109375,164.2672599234232,380.6655530976086,185.78121772179236,166.5644193796011,384.33595158503607
29,0.05,180.92807989353088,161.7802734375,382.9561417742473,183.70765099158655,164.9347742520846,375.457521878756
30,0.05,179.12505381514387,159.9245879382622,384.00932125928927,181.4221936739408,162.00940352219803,388.25579951359674
31,0.05,176.425600526391,157.1594803228611,385.3224083877191,178.7736443739671,159.6192735525278,383.0874152550331
32,0.05,173.9579140267721,154.64834520293445,386.19137290396344,177.7869699918307,158.72264216496393,381.2865436260517
33,0.05,172.51988138338416,153.15806988971988,387.2362337438072,176.71956634521484,156.9115779583271,396.15976069523737
34,0.05,170.2060319853992,150.73790327862994,389.36257041372903,174.22555307241586,155.17184565617487,381.07416358360877
35,0.05,168.367838119879,148.91425930116236,389.0715847108422,172.6941314110389,153.18471497755783,390.18830636831433
36,0.05,166.51189500762194,146.97496814262576,390.7385416170446,171.79321875939002,152.1907650874211,392.04906170184796
