epoch,beta,train_loss,train_recon,train_kl,valid_loss,valid_recon,valid_kl
1,1.0,568.6920273199314,541.9542324159204,26.73779597412795,435.34972322904144,401.7426775418795,33.60704172574557
2,1.0,405.8349411382908,366.58217535251526,39.25276714417993,376.6664522611178,335.08896695650543,41.57748471773588
3,1.0,357.24583397842036,314.1342714635337,43.11156247767006,333.18278033916766,287.25118314302887,45.9315964625432
4,1.0,326.64394977848707,280.3045847078649,46.3393650147973,317.9016154362605,271.42137908935547,46.480236346905045
5,1.0,313.46936660394437,265.22986986113756,48.23949640785776,305.45103161151593,257.3271284836989,48.12390004671537
6,1.0,303.9963254602944,253.8673310070503,50.128995160358706,299.82909804124097,249.95370307335486,49.87539599492
7,1.0,296.5582544094179,244.2936297160823,52.26462534462534,294.8761749267578,242.2872097308819,52.58896255493164
8,1.0,292.3560025098847,238.52863464355468,53.82736790354659,290.60780334472656,237.64486107459436,52.96294138981746
9,1.0,287.9569674608184,232.85507894376428,55.10188866592035,288.2215746366061,233.61187685452975,54.60969675504244
10,1.0,284.6780319586033,228.55820885635003,56.119823697718175,288.4711667574369,231.1051700298603,57.365994233351486
11,1.0,281.80857439738946,224.6918905862948,57.1166839041361,287.2241674569937,227.99552095853366,59.22864576486441
12,1.0,279.90764867270866,222.07667094905202,57.83097722123309,284.9772849449745,229.04428159273587,55.93300349895771
13,1.0,277.6872635259861,219.22814405487804,58.45911975023223,282.3455311701848,223.96937678410455,58.3761530656081
14,1.0,276.169821688024,217.2238272318026,58.94599350719917,284.04061713585486,227.19322263277493,56.84739597027119
15,1.0,274.918934519698,215.59736209032013,59.32157267128549,280.9025315504808,220.83713707557092,60.06539330115685
16,1.0,272.6571996177115,212.8970391250238,59.76016025078006,281.4965045635517,223.09769381009616,58.398812954242416
17,1.0,271.0380966558689,210.81988041575363,60.2182173007872,282.4485649695763,223.60617417555588,58.84238991370568
18,1.0,269.5058101002763,209.09695479230183,60.40885584761457,282.6793400691106,222.78979022686298,59.88954998896672
19,1.0,267.9056586288824,207.10786594297826,60.79779240677996,281.4742443378155,218.07887385441705,63.39537195058969
20,1.0,266.7087531113043,205.5445710717178,61.164181779070596,281.29247225247894,219.9228773850661,61.36959677476149
21,1.0,266.2525325868188,204.94018182521913,61.312350054485044,283.59286440335785,221.5016802274264,62.091183589054985
22,1.0,264.67886129239713,202.8680252447361,61.810834949772534,281.9839565570538,222.9321799645057,59.05177527207594
23,1.0,263.3408164419779,201.47559710246762,61.86521911621094,283.60747586763824,221.0353047297551,62.572174072265625
24,1.0,262.7690129722037,200.56292032381384,62.20609268560642,282.7779077383188,219.96124384953424,62.816663595346306
25,1.0,261.319892697218,198.85676582150342,62.46312659659037,283.8845044649564,223.79041172907904,60.09409038837139
26,1.0,260.23474098763813,197.74344564298303,62.491294563107374,285.752078129695,225.18550755427435,60.566574830275314
27,1.0,259.65115542528105,196.91376446979802,62.73739136486519,284.360227731558,221.144778911884,63.21545087374174
28,1.0,258.49223275533535,195.4737976074219,63.01843574337843,283.1084401057317,220.08818376981296,63.02025604248047
29,1.0,257.48437849835653,194.43017034763244,63.05420841124,283.1116268451397,220.46289590688852,62.6487303513747
30,1.0,256.0596725091702,192.78912792671017,63.270544284727514,284.4023267305814,221.878542973445,62.52378287682166
